Funding Sentences,Funding Sources
"This data is
supported by the fact that renewable energy sources represented approximately 70% of net additions to global power capacity in 2015,
with wind, solar photovoltaic, and hydro power being the most important sources in terms of installed power [1]",[]
"Eng Appl Artif Intell

Acknowledgements
This work has been partially supported by Comunidad de Madrid,
under project number S2013/ICE-2933, and by project TIN201454583-C2-2-R of the Spanish Ministerial Commission of Science and
Technology (MICYT)","['Comunidad de Madrid', 'the Spanish Ministerial Commission of Science']"
"Acknowledgment
This material is based upon work supported by the U",[]
"Funding: This project was funded by the Deanship of Scientific Research (DSR), King Abdulaziz University,
Jeddah, under grant No","['the Deanship of Scientific Research', 'King Abdulaziz University']"
"The authors, therefore, gratefully acknowledge DSR for their technical
and financial support",[]
"For example, in the context of neural networks, there are several
open-source state-of-the-art toolboxes [126] that are continuously updated and that grant access to the latest development in the field of DL",[]
"Acknowledgments
This research has received funding from the European Union’s Horizon 2020 research and innovation program under the Marie
Skłodowska-Curie grant agreement No",['the European Union’s Horizon 2020']
"675318 (INCITE), the Ministry
of Science and Higher Education (MNiSW, Poland) through grant No",['the Ministry\r\nof Science and Higher Education']
"0219/DIA/2019/48 and the National Science Center (NCN, Poland)
through grant No",['the National Science Center']
"Funding: This research was funded by the H2020 European project: Autonomous decision-making
in very long traverses, under grant agreement: 821988, and the Andalusian regional government,
Spain, under grant reference P18-RT-991",[]
"ACKNOWLEDGMENT

“This research work has received Research Project Grant
Funding from the Research Council of the Sultanate of Oman,
Research Grant Agreement No","['Research Project', 'the Research Council of the Sultanate of Oman']"
"The goal of this application was to develop
a logistic regression model to estimate the probability that the Turkish commercial banks
would be transferred to the Savings Deposit Insurance Fund (SDIF) where the dependent
variable is defined as the financial status of the banks:

yi =

1,
0,

if the banks that were transferred to the SDIF
otherwise

(31)

The dataset (n = 41) was randomly divided into training and testing datasets and the
sample sizes were chosen as ntrain = 30 and ntest = 11",['the Savings Deposit Insurance Fund']
"These funds generate capital that sponsor energy efficiency
programs, and research and development related to clean energy technologies and
training",[]
"Regional and Sectoral Estimates of the Social Cost
of Carbon: An Application of FUND",['Sectoral Estimates']
"This Review stems from an
Aspen Global Change Institute meeting in July 2016 convened
with support from NASA, the Heising-Simons Foundation,
and the Fund for Innovative Climate and Energy Research","['Review', 'NASA', 'the Heising-Simons Foundation', 'the Fund for Innovative Climate and Energy Research']"
"National Science
Foundation (INFEWS grant EAR 1639318)","['National Science\r\nFoundation', 'INFEWS', 'EAR']"
"7

Figure 9: N Ox predictions of four partitions corresponding
to four most significant divergent co-occurrence patterns in
the training data

Acknowledgments

This material is based upon work supported by the National
Science Foundation under Grants No","['the National\r\nScience Foundation', 'Grants No']"
"DE-AR0000795, the NIH under Grant No","['DE-AR0000795', 'NIH', 'Grant No']"
"UL1
TR002494, KL2TR002492, and TL1 TR002493, the USDA
under Grant No","['USDA', 'Grant No']"
"Funded by the Japan
Society for the Promotion of Science and
the Nippon Foundation, he is perfectly
positioned to research the likelihood
of tsunami occurrences","['the Japan\r\nSociety for the Promotion of Science', 'the Nippon Foundation']"
"Acknowledgments
This work was supported by the U",[]
"The
assistant dean may grant reasonable requests for an extension of this time deadline at his/her sole
discretion",[]
"If the
student does not schedule an appointment within the allotted time, or within such extension of time
as the assistant dean may grant at his/her sole discretion, the assistant dean will make a decision
regarding any sanction based on the available information",[]
"Funding: This work was supported by the French National Research Agency under grant agreement ANR-09-BLAN-0051-04 and by the European Community’s
Seventh Framework Programme under grant agreement FP7-246513","['the French National Research Agency', 'the European Community’s']"
", in [1], [9],
This work is supported in part by National Science Foundation grant ECCS
1307756",['National Science Foundation']
"Int
J Electr Power Energy Syst 82:242–251
Turk A, Sandelic M, Noto G, Pillai JR, Chaudhary SK (2019)
Primary frequency regulation supported by battery storage systems in power system dominated by renewable energy sources","['J Electr Power Energy', 'Sandelic M']"
"Acknowledgements
We acknowledge (i) funding from DOE High Solar PV
Penetration Grant 10DE-EE002055, (ii) assistance with

installation and maintenance of the sky imaging facility
by Tex Xelowski, David Purtell, Mildred Mcmilion from
RIMAC Sports Facilities, (iii) support from John Ratcliﬀe
and Robert Serocki",['RIMAC Sports Facilities']
"Research toward Multi-Site Characterization of
Sky Obscuration by Clouds, Final Report for Grant N00244-07-1-009,
Marine Physical Laboratory, Scripps Institution of Oceanography,
University of California San Diego, Technical Note 274","['Multi-Site Characterization', 'Clouds', 'Final Report for Grant N00244-07-1-009', 'Marine Physical Laboratory', 'Scripps Institution of Oceanography', 'University of California San Diego']"
"The
NMU project is partly funded by the EC Interreg IVB programme","['NMU', 'the EC Interreg IVB']"
"com/

Acknowledgment This work was supported by the EU’s Horizon 2020 programme under
grant agreement H2020-693092 MOVING",['EU']
"Policies in the UK include the
Waterborne Freight Grant Scheme and the Modal Shift Revenue Support",[]
"Sweden, for instance, recently expanded its version of the European “Ecobonus” scheme,
which allows an outright grant to be paid to transport companies who can provide new or
improved maritime services shifting freight from road",['the European “Ecobonus']
"Funding
This work was supported by Traﬁkverket (project no",[]
"[91] Wei Kang, Jie Chen, Jiuyong Li, Jixue Liu, Lin Liu, Grant Osborne, Nick Lothian, Brenton Cooper, Terry Moschou,
and Grant Neale",[]
"ACKNOWLEDGMENT
The first two authors would like to thank the EPSRC-UK for
funding this work in part under grant number EP/E035965/1",['EP']
"Also, this work is partially supported by the Spanish Government Research Grants TIN2008-00508 and CSD00C-0720811",['the Spanish Government Research Grants TIN2008-00508']
"067
AC KNOWLED GME NTS

We acknowledge the NSF, CHE-1214152; the DOE Office of Science
through the Joint Center for Artificial Photosynthesis, grant
DE-SC0004993; and the DOE Office of Science, grant
DE-FG02-03ER15483; and the Gordon and Betty Moore Foundation,
grant 1225; for support that enabled the preparation of this Review,
and M","['GME NTS', 'NSF', 'CHE-1214152', 'the DOE Office of Science', 'the Joint Center for Artificial Photosynthesis', 'DE-SC0004993', 'the DOE Office of Science', 'Betty Moore Foundation', 'Review']"
"Although some of these
challenges were overcome in later years, they slowed down
the research progress seriously enough for funding agencies
to end financial support",[]
"One was
supported by Puget Sound Power and Light Company in
1991–1992, and the other was organized by the EUNITE

table 2",['EUNITE']
"The work by the second author has been supported by the Research Council of Norway through the
Centres of Excellence funding scheme, project number 223254 AMOS","['the Research Council of Norway', 'Centres of Excellence']"
during training for each programming language supported by MultiPL-E,[]
"ACKNOWLEGEMENT AND DISCLAMIER
The authors acknowledge the support in part of the Smart
Manufacturing Systems Design and Analysis Program at the
National Institute of Standards and Technology (NIST), Grant
Numbers 70NANB12H225 and 70NANB12H273 awarded to
University of California, Berkeley, and to Stanford University
respectively","['ACKNOWLEGEMENT', 'the Smart\r\nManufacturing Systems Design and Analysis Program', 'the\r\nNational Institute of Standards and Technology', '70NANB12H273', 'University of California, Berkeley', 'Stanford University']"
"/ Transportation Research Part E 47 (2011) 1021–1037

1037

Acknowledgements
This work is partly supported by the National Natural Science Foundation of China under Grants 70772052, 70871090 and
71002077 and the General Research Grant (GRF) 9041491 (CityU 113609) from the RGC Hong Kong SAR","['the National Natural Science Foundation of China', 'the General Research Grant', 'the RGC Hong Kong']"
"Part B: Methodological 39(3):

This study is partly supported by the Youth Foundation 199-221",['the Youth Foundation']
"Accessed April 1, 2014,
cation of China [Grant 11YJC630239]; the National Natural
http: // www",['National Natural']
"“Electricity Markets Cleared by
Merit Order - Part I: Finding the Market Outcomes Supported by Pure Strategy Nash
Equilibria",['the Market Outcomes Supported']
"ACKNOWLEDGMENT
The authors would like to acknowledge the financial support received from Applied Science Private University that helped in accomplishing the work of this article",['Applied Science Private University']
"Acknowledgements
This work was supported in part by the National Natural Science
Foundation of China under Grant NSFC U1813212, 51877072,
51707123, in part by Huxiang Young Talents Programme of Hunan
Province under Grant 2019RS2018, and in part by Natural Science
Foundation of Guangdong Province under Grant 2018A030310523","['the National Natural Science\r\nFoundation of China', 'Huxiang Young Talents Programme', 'Grant 2019RS2018', 'Natural Science\r\nFoundation', 'Grant']"
"Sodium Sulfur Battery Energy Storage
And Its Potential To Enable Further Integration of Wind
(Wind-to-Battery Project)
Xcel Energy Renewable Development Fund
Contract # RD3-12

J","['Sodium Sulfur Battery Energy Storage', 'Xcel Energy Renewable Development Fund']"
"Novachek
Xcel Energy

FinalReport
(Milestone 6)
December 2011

Public Version
Project funding provided by customers of Xcel Energy through a grant from the
Renewable Development Fund","['Novachek\r\nXcel Energy', 'FinalReport', 'Xcel Energy', 'Renewable Development Fund']"
"Denver, CO 80202
Additional persons and organizations that contributed significantly to the report include:
 Nancy Pellowski, Xcel Energy
 Liam Noailles, Xcel Energy
 Dave Porter, S&C Electric
 Abe Hiroyuki, NGK Insulators
 Jeremy Davis, GridPoint
 Mike Gregerson and Rolf Nordstrom, Great Plains Institute
 Brad Lutz, National Renewable Energy Laboratory

LEGAL NOTICE
THIS REPORT WAS PREPARED AS A RESULT OF WORK SPONSORED BY PROJECT
FUNDING PROVIDED BY CUSTOMERS OF XCEL ENERGY THROUGH A GRANT FROM
THE 100% RATEPAYER FINANCED RENEWABLE DEVELOPMENT FUND
ADMINISTERED THROUGH THE NORTHERN STATES POWER COMPANY, A
MINNESOTA CORPORATION","['Xcel Energy', 'Xcel Energy', 'S&C Electric', 'NGK Insulators', 'GridPoint', 'Great Plains Institute', 'National Renewable Energy Laboratory']"
"Usefulness of the Information Gained
Xcel Energy is grateful to the Renewable Development Fund for supporting our Wind-ToBattery energy storage demonstration",['the Renewable Development Fund']
"Figure 37 displays the scheduled and actual amounts of power from the wind generation facility
when supported by the DESS for the 1 MW scenario, tested on 3/12 from 9:15-16:00","['DESS', 'MW']"
"Usefulness of the Information Gained
Xcel Energy is grateful to the Renewable Development Fund for supporting our Wind-ToBattery energy storage demonstration",['the Renewable Development Fund']
"Several new demonstration projects using these technologies are being funded by
DOE as part of their Smart Grid demonstration grants",['Smart Grid']
"Policy should generate the most good for the largest number of customers

Public Version

Page 78 of 118

Policy Work Group Participants
Xcel Energy
Frank Novachek, Project Sponsor
Nancy Pellowski, Project Support
Jim Himelic, Project Analyst
Betsy Engelking, Resource Planning
Lloyd Hilgard, Energy Supply
Dan Pfeiffer, Government Affairs
Liam Noailles, Market Operations
Marty Smith, Environmental Policy
Steve Beuning, Market Operations

External Participants
Rolf Nordstrom, Great Plains Institute
Mike Gregerson, Great Plains Institute
Mark Willers, Minwind Energy LLC
Matt Schuerger, Energy Systems Consulting Svs
Rahul Walawalkar, Customized Energy Solutions
Stan Selander, Great River Energy
Harold Gotschall, Technology Insights
Nathaniel Baer, Iowa Environmental Council
Larry Johnston, SUMMPA
Tom Wind, Iowa Stored Energy Park

Key Policy Considerations and Recommendations
The following summarizes key discussions and recommendations discussed by the work group
for further consideration as policy development relevant to electric energy storage evolves","['Public Version', 'Policy Work Group Participants\r\nXcel Energy', 'Project Sponsor', 'Project Analyst', 'Resource Planning', 'Lloyd Hilgard', 'Great Plains Institute', 'Great Plains Institute', 'Minwind Energy', 'Energy Systems Consulting', 'Customized Energy Solutions', 'Great River Energy', 'Iowa Environmental Council', 'Iowa Stored Energy Park\r\n\r\nKey Policy Considerations']"
"Any further recommendations for
changes to help support the expansion of electric energy storage in the MISO market
will be supported by future operating experience and determination of benefits by
Xcel Energy",['Xcel Energy']
"Additional financial support from the Initiative for Renewable Energy and the Environment (IREE),
University of Minnesota, is gratefully acknowledged","['the Initiative for Renewable Energy', 'IREE', 'University of Minnesota']"
"com/journal/sustainability

Sustainability 2017, 9, 1234

2 of 19

The EnergyPlus website [19], operated by the United States (US) National Renewable Energy
Laboratory (NREL) and supported by the US Department of Energy (DOE), provides various
meteorological observation data, including hourly irradiance values for more than 2100 sites
worldwide [19]","['National Renewable Energy\r\nLaboratory', 'NREL', 'the US Department of Energy']"
"Acknowledgments: This research was supported by the Basic Science Research Program through the National
Research Foundation of Korea (NRF) funded by the Ministry of Education (2015R1D1A1A01061290)","['the Basic Science Research Program', 'the National\r\nResearch Foundation', 'the Ministry of Education']"
"Acknowledgements
This work was partially supported by the Defense Advanced Research Projects Agency
(award FA8750-17-2-0130), the National Science Foundation (grant 2038612), the Space
Technology Research Institutes grant from NASA’s Space Technology Research Grants Program, the U","['the Defense Advanced Research Projects Agency', 'the National Science Foundation', 'the Space\r\nTechnology Research Institutes', 'NASA', 'Space Technology Research Grants Program']"
"Department of Homeland Security (award 18DN-ARI-00031), the Ministry
of Education and Science (MEiN, Poland; grant 0219/DIA/2019/48), the National Science
Center (NCN, Poland; grant 2018/30/A/HS4/00444), and Nixtla","['Department of Homeland Security', 'the Ministry\r\nof Education', 'Science (MEiN', 'the National Science\r\nCenter', 'NCN']"
"Many successfully
meteorological information forecasting have been proposed
[4], including temperature forecasting, irradiance forecasting,
Research is partially supported by US Department of Energy Contract
#DE-EE0006017","['US Department of Energy Contract', 'DE-EE0006017']"
"Before testing the candidate algorithms, the grid parameters search optimizer, supported by Scikit learn [42], was used to tune each algorithm’s hyperparameters",[]
"Funding: This research was funded by Deanship of Graduate Studies and Scientific Research at the
German Jordanian University, Seed fund SATS 03/2020",['German Jordanian University']
Acknowledgments: This research has been financed by the Europan Social Fund,['the Europan Social Fund']
"The authors
would like to acknowledge the Deanship of Graduate Studies and Scientific Research at the German
Jordanian University for the Seed fund SATS 03/2020",['Jordanian University']
"Awaysheh acknowledges support
via IT Academy program and the European Regional Development Funds via the Mobilitas Plus
programme (grant MOBTT75)","['IT Academy', 'the European Regional Development Funds', 'Mobilitas']"
"2 Million Research Grant to Develop Solar Forecasting
Capabilities
Singapore's capability to accurately forecast solar energy output is set
to grow with a $6",[]
"2 million research grant from the Energy Market Authority
(EMA)","['the Energy Market Authority', 'EMA']"
"At today's Singapore International Energy Week 2017 Senior Minister
of State for Trade & Industry Sim Ann announced the award of the research
grant to a consortium led by the National University of Singapore (NUS)","['Singapore International Energy Week 2017', 'State for Trade & Industry', 'the National University of Singapore', 'NUS']"
"Seven proposals were received in response to the Solar Forecasting
Grant Call launched on 8 March 2017 by EMA together with MSS","['Solar Forecasting', 'EMA', 'MSS']"
"The best example
of this is the study funded by the European Union for Project (REACCESS) “Risk
of Energy Availability: Common Corridors for Europe Supply Security",['the European Union for Project (REACCESS']
"Acknowledgments The authors gratefully acknowledge support by the German Federal Ministry
for Education and Research, grant no","['the German Federal Ministry', 'Education', 'Research']"
", Grant, K",['Grant']
"Acknowledgments This work was funded by Deutsche Forschungsgemeinschaft under grant
number NA487/8-1",['Deutsche Forschungsgemeinschaft']
"Further financial support was provided by the School of Simulation and Data
Science at RWTH Aachen University",['the School of Simulation and Data\r\nScience at RWTH Aachen University']
"Acknowledgments This work is funded by the Federal Ministry for Economic Affairs and Energy
within the BEAM-ME project (ID: 03ET4023A-F) and by the Federal Ministry of Education
and Research within the Research Campus MODAL (ID: 05M14ZAM)","['the Federal Ministry for Economic Affairs and Energy', 'BEAM', 'the Federal Ministry of Education', 'Research', 'the Research Campus']"
"Acknowledgments This work has been supported by the BMBF project ENets and the DFG
projects GO 1920/4-1, HE 5386/15-1","['BMBF', 'ENets']"
"Acknowledgments This work was partially supported by the Bundesministerium für Bildung und
Forschung (BMBF) under Grant No","['Bundesministerium', 'Grant No']"
"Keywords MCDA · MAMCA · BIPOLAR MIX

1 Introduction
The choice of projects for realization or financial support is a complicated, usually
a group process, often strategic in nature, which involves confronting trade-offs
between multiple, frequently opposing, factors",['MAMCA']
Acknowledgments The first two authors was partially supported by Boğaziçi University Scientific Research Project under the Grant number: BAP 14522,"['Boğaziçi University Scientific Research Project', 'Grant']"
"Acknowledgments This project was funded by the ELKARTEK Research Programme of the
Basque Government (project KK-2019/00068)",['the ELKARTEK Research Programme']
"The work of Roberto Santana
was funded by the Basque Government (project IT-1244-19), and Spanish Ministry of Economy
and Competitiveness MINECO (project TIN2016-78365-R)","['the Basque Government', 'Spanish Ministry of Economy\r\n']"
"Acknowledgments The authors acknowledge the financial support of the companies CPFL
Paulista, Foz do Chapecó Energia, Campos Novos Energia and Transmissora Morro Agudo",[]
"Acknowledgments This work has been supported by the German Federal Ministry for Economic
Affairs and Energy (BMWi), Grant 0325879, Project PfadE3","['the German Federal Ministry for Economic\r\nAffairs and Energy', 'Grant 0325879']"
"Acknowledgement This work was supported by a grant from the SWK Mobil GmbH in a joined
R&D Project",['the SWK Mobil GmbH']
"Acknowledgement This work was supported by the European Union and the Free State of Saxony
under SAB-Nr","['the European Union', 'the Free State', 'SAB']"
"(7)

An increasing number of countries have adopted auctions for the allocation of
permits and financial support for new onshore wind projects",[]
"Acknowledgments This work was supported by the research grants VEGA 1/0342/18 “Optimal
dimensioning of service systems”, VEGA1/0089/19 “Data analysis methods and decisions support
tools for service systems supporting electric vehicles”, and VEGA 1/0689/19 “Optimal design and
economically efficient charging infrastructure deployment for electric buses in public transportation of smart cities” and APVV-15-0179 “Reliability of emergency systems on infrastructure with
uncertain functionality of critical elements”",['VEGA']
"Acknowledgments This work was supported by the research grants VEGA 1/0342/18 “Optimal
dimensioning of service systems”, VEGA1/0089/19 “Data analysis methods and decisions support
tools for service systems supporting electric vehicles”, and VEGA 1/0689/19 “Optimal design and
economically efficient charging infrastructure deployment for electric buses in public transportation of smart cities” and APVV-15-0179 “Reliability of emergency systems on infrastructure with
uncertain functionality of critical elements”",['VEGA']
"Acknowledgments The work was performed in the project Responsive Fab, co-funded by grants
from the European Union (EFRE) and the Free State of Saxony (SAB)","['Responsive Fab', 'the European Union', 'SAB']"
"VRP with Perishable Goods

419

Acknowledgments This work was done in the Research Campus MODAL funded by the German
Ministry of Education and Research (BMBF)","['VRP', 'Perishable Goods', 'the Research Campus', 'the German\r\nMinistry of Education']"
"Acknowledgments Adam Kasperski and Paweł Zieliński were supported by the National Science
Centre, Poland, grant 2017/25/B/ST6/00486",['the National Science\r\nCentre']
"Acknowledgments Romain Guillaume was partially supported by the project caasc ANR-18CE10-0012 of the French National Agency for Research, Adam Kasperski and Paweł Zieliński
were supported by the National Science Centre, Poland, grant 2017/25/B/ST6/00486","['the French National Agency for Research', 'the National Science Centre']"
"Acknowledgments This research is partially supported by the German Research Foundation
(DFG) project “Advanced algorithms and heuristics for solving quantified mixed - integer linear
programs”",['the German Research Foundation']
"Funding
Funded by Deutsche Forschungsgemeinschaft (DFG,
Foundation)—project number 57157498—SFB 805",['Deutsche Forschungsgemeinschaft']
"17482 N/1, funded by the German
Federal Ministry of Economic Affairs and Energy (BMWi) approved by the Arbeitsgemeinschaft
industrieller Forschungsvereinigungen “Otto von Guericke” e","['Federal Ministry of Economic Affairs and Energy', 'Arbeitsgemeinschaft']"
"Moreover, this research
was partially funded by Deutsche Forschungsgemeinschaft (DFG) under project No",['Deutsche Forschungsgemeinschaft']
"More importantly, ΔH (q, ω)
is strictly increasing in ω on [ω, 1] for all q ∈ [q, q]; this is supported by scaling
laws and implies the existence of the inverse function Ω : [q, q] × R+ → R+
of ΔH (q, ω) with respect to ω for fixed q, i","['ΔH', 'ΔH']"
"This research was funded by Deutsche Forschungsgemeinschaft (DFG, German Research
Foundation)—Project Number 57157498—SFB 805","['Deutsche Forschungsgemeinschaft', 'German Research']"
"17482 N/1, funded by the German
Federal Ministry of Economic Affairs and Energy (BMWi) approved by the Arbeitsgemeinschaft
industrieller Forschungsvereinigungen “Otto von Guericke” e","['Federal Ministry of Economic Affairs and Energy', 'Arbeitsgemeinschaft']"
"Moreover, this research
was partially funded by Deutsche Forschungsgemeinschaft (DFG) under project No",['Deutsche Forschungsgemeinschaft']
"Facility Location with Modular Capacities for DSP

551

Acknowledgments The author thanks the Friedrich and Elisabeth Boysen-Stiftung and the TU
Dresden for the financial support during the third Boysen-TU Dresden-GK","['DSP', 'TU', 'Boysen-TU Dresden-GK']"
"A particular appealing application of the developed DSL is a project funded by
‘Innosuisse—Swiss Innovation Agency’ in the field of policy design for elderly
care",[]
"Acknowledgement This work was supported by German Research Foundation (DFG) with
research grant 283085490 and RTG 2236 “UnRAVeL”","['German Research Foundation', 'RTG']"
Acknowledgment This work was supported by JSPS KAKENHI Grant Number JP18K04619,[]
"Acknowledgments The authors “Fabian Löbel and Niels Lindner” were funded by the
Deutsche Forschungsgemeinschaft (DFG, German Research Foundation) under Germany’s
Excellence Strategy—The Berlin Mathematics Research Center MATH+ (EXC-2046/1, project
ID: 390685689)","['Deutsche Forschungsgemeinschaft', 'German Research Foundation', 'The Berlin Mathematics Research Center MATH+ (EXC-2046/1']"
"Kohani

Acknowledgments This work was supported by the research grants APVV-15-0179 “Reliability
of emergency systems on infrastructure with uncertain functionality of critical elements” and
VEGA 1/0689/19 “Optimal design and economically efficient charging infrastructure deployment
for electric buses in public transportation of smart cities”",['Kohani']
"The residential building in
Passeig Santa Coloma 55-57 is one of the buildings whose
energy refurbishment is financially supported by the Agency",['Agency']
"On the other hand,
Smart Towers are linked to the Fiber Optic Backbone network in order to
grant wide broadband wireless connectivity services",['the Fiber Optic Backbone']
"This
study is supported by the research project “Big Shipping Log Data Driven Ship Fuel Eﬃciency Analysis and Management: Model
Building & Software Development” funded by NOL Fellowship Programme","['Model\r\nBuilding & Software Development', 'NOL Fellowship Programme']"
"Our work is making significant impact in
industry and society: our visualizations have been deployed and demoed at Microsoft and
built into widely-used interpretability toolkits, our interactive articles have been read by
250,000+ people, and our interpretability research is supported by NASA","['Microsoft', 'NASA']"
"The S UMMIT visualization runs in modern web
browsers, is open-sourced, and supported by a NASA PhD fellowship","['The S UMMIT', 'NASA']"
"This was
further supported by a participant who frequently presents reports to stakeholders: “When
you’re going to craft your story,",[]
"We think G AMUT is a useful interface for exploring GAMs, as supported by our usability ratings in Section 3",[]
"An example of this is an interactive article titled “Attacking
discrimination with smarter machine learning” [210], which explores how one can can
create both fair and unfair threshold classifiers in an example task such as loan granting
scenarios where a bank may grant or deny a loan based on a single, automatically computed
number such as a credit score",[]
"ACKNOWLEDGMENT
The authors would like to acknowledge the financial support received from Applied Science Private University that helped in accomplishing the work of this article",['Applied Science Private University']
"This study is partly supported
by the National Natural Science Foundation of China (Grant Nos",['the National Natural Science Foundation of China']
"This is also a preliminary study for the project titled “Data fusion and machine
learning for ship fuel efficiency analysis: a small but essential step towards green shipping through data analytics” funded by International
Association of Maritime Universities (Research Project No",['International\r\nAssociation of Maritime Universities (Research Project No']
"Kim were supported by
QCRI-CSAIL Computer Science Research Program at MIT",['MIT']
"0 ACKNOWLEDGMENTS
This work was supported by the Laboratory Directed Research and Development (LDRD)
Program at the National Renewable Energy Laboratory","['the Laboratory Directed Research and Development', 'the National Renewable Energy Laboratory']"
"Haupt
was supported by base funds from NCAR, which is supported by the National Science
Foundation","['NCAR', 'the National Science\r\nFoundation']"
"In this case study, the loads consumption, photovoltaic (PV)
generation and potential Electric Vehicles (EVs), that may support
the campus when necessary are analysed for further designs
supported by over 2 years of campus data",['Electric Vehicles']
"Keywords—PV, EV, Microgrid

The work is supported in part by the European Commission H2020
TWINNING JUMP2Excel (Joint Universal activities for Mediterranean PV
integration Excellence) project under grant 810809 and H2020 TWINNING
NEEMO (Networking for Excellence in Electric Mobility Operations) project
under grant 857484 as well as the Malta Council for Science and Technology
(MCST) (Grant ENM-2016-002a) through the ERANETMED initiative of
Member978-1-7281-6115-0/20/$31","['EV', 'Microgrid', 'the European Commission', 'Networking for Excellence in Electric Mobility Operations', 'the Malta Council for Science and Technology', 'Grant ENM-2016-002a', 'ERANETMED']"
"This is also supported by the results in the case study, where
we identified a wide range of weak points when analysing how the HMI would
work in practice",['HMI']
"[22] Chen S, Cowan CFN, Grant PM","['Cowan CFN', 'Grant']"
"This work has
been also supported by the Spanish Ministry of Education
and Science (grant number: DPI2009-14713-C03-01)","['the Spanish Ministry of Education', 'Science', 'DPI2009']"
"Pozo’s work was supported by Skoltech NGP
Program (Skoltech-MIT joint project)","['Skoltech NGP', 'Skoltech-MIT']"
"At the end, BS09’s “7 %” claim is only supported by the GISS
ModelE prediction; the result remained not validated by robust data analysis
and, therefore, BS09’s argument falls into circular reasoning”, however, the
analysis discussed in BS09 (eq",['GISS']
"9, the
flux φm at any instant of time is supported by the net magnetizing ampere-turns applied to
the core in Figure 7",[]
"28 are the key to understanding transformers: to one of the
windings, the applied voltage, equal to the induced voltage in it if the winding resistance
and the leakage flux are ignored, results in flux φm which is supported by the net magnetizing ampere-turns given by Equation 7",['Equation 7']
Tilmann Gneiting acknowledges funding from the European Union Seventh Framework Program under grant agreement no,['the European Union']
"Acknowledgements
This work has been partially financed by the Seventh Framework Programme of the European Commission with the Project Photovoltaic Cost Reduction, Reliability, Operational Performance, Prediction and Simulation (PVCROPS—Grant Agreement No","['the Seventh Framework Programme', 'the European Commission', 'the Project Photovoltaic Cost Reduction, Reliability']"
"As a static medium, comics are ideal for storyboarding
and ideation [77]; there are minimal technical barriers to production,
and they can be shared in many forms such as scientific papers, conference posters, slide shows, grant proposals and blogs",[]
",
z-scoring, logarithmic), outlier removal
Explain important messages of a chart, explain error bars

10

Hypotheses Evaluation

Which hypotheses are supported by results

visual explanations, such as ‘
’ and the ‘ ’ in Fig",[]
It should show which hypotheses can be accepted and which ones are not supported by the results,[]
"Some results reported in this book were obtained by the authors when working
to a grant of the Romanian National Authority for Scientific Research, CNCS—
UEFISCDI, project number PN-II-ID-PCE-2011-3-0089 and to the European
Cooperation in Science and Technology project COST ES1002","['the Romanian National Authority for Scientific Research', 'CNCS', 'UEFISCDI', 'the European\r\nCooperation in Science and Technology']"
"Some models and testing procedures reported in this book were worked using
data measured on the Solar Platform of the West University of Timisoara,
developed with financial support from the Romanian Ministry of Research and
Education under the frame of the National Research Program PN II, project
PASOR 21039/2007","['the Romanian Ministry of Research', 'the National Research Program PN II']"
"The
Satel-Light project was funded by the European Union from 1996 to 1998",['the European Union']
"One
The above statement is supported by the FDF of the synthetic C

denotes by ‘‘class 0",[]
"This similarity is supported by the large value of the first AR
coefficient (u1 = 0",[]
"This conclusion is also supported by verification of the
model against measured data at five meteorologic stations located in Romania,
reported in Paulescu et al",[]
"The assumption that variability on a 15 min or shorter time-scale is uncorrelated
between plants separated by 20 km or more is supported by data from at least one
region of the U",[]
"Development of clusters will often require coordination between multiple industrial companies involved in both hydrogen
production and end use, supported by governments at local and national level",[]
"The development of clean hydrogen industrial clusters, through coordinate private-sector action, supported by
national and local government",[]
