Limits Sentences,Generalized Limit Sentences
"In order to deal with the problem of node security in a
more comprehensive way, a node security situation assessment technology
based on BP neural network is proposed to better identify malicious nodes",['A limitation: In order to deal with the problem.']
"In reference [13], a decision-making trust evaluation model
is proposed, which uses fuzzy theory to calculate the uncertainty and fuzziness, and
solves the problem that nodes only obtain information that is not shared, but does not
consider load balancing","['A limitation: In reference [ 13 ] , a.']"
"5

4 Summary and Future Work
For the problem that underwater nodes are easy to be captured as malicious nodes, the
situation awareness technology based on BP neural network is used to evaluate the
credibility of nodes",['A limitation: 5 \r\n\r\n 4 Summary and Future Work.']
"BP
neural network can deal with this uncertain problem and make a correct judgment for
the nodes",['A limitation: BP \r\n neural network can deal with.']
"The emergence of the Aadhaar system and the
support of its afﬁliated electronic KYC system have solved this problem that has
plagued India’s ﬁnancial industry for many years, reducing the bank’s account opening
cost by 90% [3]",['A limitation: The emergence of the Aadhaar system and.']
"The system can operate without physical infrastructure other than mobile
phones, overcoming the problem that India lacks infrastructure to develop non cash
payments",['A limitation: The system can operate without physical infrastructure.']
"The Indian government needs to improve its management ability in
related ﬁelds, of which the most noteworthy is the issue of personal privacy protection",['A limitation: The Indian government needs to improve its.']
"In this process, the
issue of personal privacy is inevitable","['A limitation: In this process , the \r\n issue.']"
"If this problem cannot be properly handled, the
big data industry will lead to common people’s antipathy, and eventually limit the
development of the big data industry",['A limitation: If this problem can not be properly.']
This kind of problem leads to students’ learning interest is difﬁcult to improve,['A limitation: This kind of problem leads to students.']
"In
order to be able to change this problem, innovative ﬁle management has become an
inevitable development",['A limitation: In \r\n order to be able to.']
"How
to efﬁciently process and use this information has become a problem that the hospital
staff need to think and solve",['A limitation: How \r\n to efﬁciently process and use.']
"To this end, the article explores the issue of hospital archives
management in the big data era [1]","['A limitation: To this end , the article explores.']"
"This requires universities to take this problem into consideration when conducting talent training, and to consider how to train application
talents for CBEC",['A limitation: This requires universities to take this problem.']
"2

Bottlenecks in Development

But because our country in recent ﬁve years before a short video of the media from the
media developing slowly, the development of the media short video is shorter, so the
development of the short video also is more, the problem of intelligent level is not
enough to cause our short video applications as well as the short video control technology is not yet mature, the survey results of the main problem facing our nation today
are shown in Fig",['A limitation: But because our country in recent ﬁve.']
"Therefore, in view of these
problems, we need to proceed from the reality, put forward effective improvement
measures and solve the problem","['A limitation: Therefore , in view of these \r\n.']"
” Big Data can solve the problem of “how much and what is” in,['A limitation: ” Big Data can solve the problem.']
"The term “big data”
was ﬁrst coined by NASA researchers to describe the data challenge that occurred in
the 1990s, the massive amount of information and data generated by supercomputers",['A limitation: The term “ big data ” \r\n.']
"Building digital
campus makes the original single information mode of education management information face the integration challenge in the “campus all-in-one card” [5]",['A limitation: Building digital \r\n campus makes the original.']
"However, due to technical limitations and personnel quality constraint [6]","['A limitation: However , due to technical limitations and.']"
"In addition, colleges has become a problem that relevant personnel need to focus
on","['A limitation: In addition , colleges has become a.']"
"By studying the Markov chain’s spatial correlation data prediction
algorithm, it solves the problem that nodes need to store a large amount of
historical data during prediction, and the requirements for node storage space are
relatively high; At the same time, the spatial correlation of the data in the
network is analyzed for data prediction, which solves the problem of low prediction accuracy using the time-based correlation prediction method in the case
of irregular data fluctuations",['A limitation: By studying the Markov chain ’s spatial.']
"In order to solve
the problem of line overlapping coverage in big data environment, the parallel coordinate clustering method is used to optimize the problem effectively",['A limitation: In order to solve \r\n the problem.']
"In the era of big data, the importance of data analysis has been put on
the agenda, and at the same time, the authenticity of massive information has
become a challenge","['A limitation: In the era of big data ,.']"
": Problem solving in social interactions on the internet: rumor as
social cognition",['A limitation: : Problem solving in social interactions on.']
"In terms of the
timeliness of data acquisition, big data technology makes the timeliness of
economic data possible and effectively solves the lag in economic research Post
problem: in terms of the value of data acquisition, although massive data reduces
the value density of data, the quality of data captured by big data technology is
far higher than that of ordinary data acquisition methods",['A limitation: In terms of the \r\n timeliness of.']
"When it comes to econometric analysis, we can’t get around the problem of data
selection and application","['A limitation: When it comes to econometric analysis ,.']"
"People need to look at the problem of the development and protection
of the DaYing Zhuotong well from the perspective of big data analysis [9, 10]",['A limitation: People need to look at the problem.']
": The musical competence of an early years teacher the challenge a modern
education",['A limitation: : The musical competence of an early.']
"The traditional distribution network will not generate electricity
according to the user’s demand, so there is demand response, which changes the
operation mode [8], to a large extent, it solves or alleviates the problem that the system
is unable to automatically distribute power or power shortage, improves the stability of
power supply demand, and it has practical signiﬁcance to study the short-term load
combination forecasting model considering demand side response Meaning",['A limitation: The traditional distribution network will not generate.']
"The
traditional distribution network can not actively monitor whether the power is sufﬁcient, so there is demand response, which changes the operation mode, to a large extent
solves or alleviates the problem that the system cannot automatically distribute power
or power is insufﬁcient, improves the stability of power supply demand, and meets the
needs of the building as shown in Fig",['A limitation: The \r\n traditional distribution network can not.']
"This shows that our
country does not have an integrated analysis for large data systems, although some in
China art website development faster, but not art ﬁeld to a macro view of big data
analysis and research of these sites, the real artistic creation can be used for large data
analysis of rare, big data did not play a substantial role, most of these data collected by
the site is all garbage data, it took a lot of resources to collect data, but the availability
of data is not high, this also is a worth highly focus on the core issue of art workers",['A limitation: This shows that our \r\n country does.']
"Due to the limitation of time, the work completed in this
paper is only a preliminary result","['A limitation: Due to the limitation of time ,.']"
"This problem is exacerbated by the emergence of a
new generation of programming languages for large-scale, dynamic, and distributed
systems, as most existing ADLs do not capture the features of this language",['A limitation: This problem is exacerbated by the emergence.']
"5 Conclusions
In order to better the user interface code automatic generation technology, combining
with the background of big data, based on the coding, try to use DSL symbol is
transformed into low dimensional continuous value at the same time, further, the words
of similar symbols in vector space is mapped to a similar position, so as to meet the
needs of the original model serialization on one hand, fundamentally solves the
problem of limited dimension vector, in order to further extract GUI rich characteristics
in image corresponds to the DSL code provides a possibility",['A limitation: In order to better the user interface.']
": Special issue: Hippocampal theta rhythms from a computational
perspective: code generation, mood regulation and navigation",['A limitation: : Special issue : Hippocampal theta rhythms.']
"It has
become an important issue that needs to be actively addressed in the current ﬁeld of
cultural heritage digitization to build a theoretical system of heritage digitization for
different research and protection needs and to lay solid professional support such as
method tools, data models and technical processes",['A limitation: It has \r\n become an important issue.']
"In addition, online recruitment also has the problem of redundancy of personnel information and difﬁculty in judging the authenticity of the information [5]","['A limitation: In addition , online recruitment also has.']"
"2

Competence Data-Employee Development Feedback

Competence data refers to the data on the changes of employees’ personal abilities
before and after the job, including the comprehensive situation of the employee’s personal development, such as training experience (including pre-job and post-job training), training assessment, problem-solving efﬁciency, participation in competitions,
rewards and punishments Situation, position changes, etc",['A limitation: 2 \r\n\r\n Competence Data - Employee Development.']
"(Late Issue) 05, 184–185 (2020)","['A limitation: ( Late Issue ) 05 , 184–185.']"
"Current status of inclusive ﬁnancial development in our city

The problem we are facing
Small and micro enterprises have difﬁculties in ﬁnancing, slow ﬁnancing,
expensive ﬁnancing, and insufﬁcient ﬁnancial services
Farmers and rural enterprises have low loan acquisition rates
There is a problem with the information connection between the client manager
and the client
The development of small and micro enterprises lacks the support of ﬁnancial
resources
People’s ﬁnancial awareness is weak, and ﬁnancial literacy is not high

Percentage
78",['A limitation: Current status of inclusive ﬁnancial development in.']
"Problem

People's financial awareness is weak, and
financial literacy is not high
The development of small and micro
enterprises lacks the support of financial
resources
There is a problem with the information
connection between the client manager and
the client
Farmers and rural enterprises have low loan
acquisition rates
Small and micro enterprises have
difficulties in financing, slow financing,
expensive financing, and insufficient
financial services
40","[""A limitation: Problem \r\n\r\n People 's financial awareness is.""]"
"Therefore, it is very urgent to solve the ﬁnancing problem of small
and micro enterprises at present","['A limitation: Therefore , it is very urgent to.']"
"80% believe that
there is a problem with the information connection between the client manager and the
client; 57",['A limitation: 80 % believe that \r\n there is.']
"Through the rational use of
big data analysis technology, we actively explore new small and micro ﬁnancial service
models, and provide efﬁcient and convenient online ﬁnancing services to small and
micro merchants (enterprises) around the community (online) to solve the problem of

424

W",['A limitation: Through the rational use of \r\n big.']
"The development of inclusive ﬁnance under the grid service model can provide
different forms of inclusive ﬁnancial projects to solve the poverty-causing problem
caused by various factors",['A limitation: The development of inclusive ﬁnance under the.']
"The grid development of ﬁnancial services can solve
the problem of convenient wide coverage of ﬁnancial services",['A limitation: The grid development of ﬁnancial services can.']
"” Therefore,
creating a safe, fast and convenient digital payment environment has become a major
challenge in building the “21-st Century Digital Maritime Silk Road”","['A limitation: ” Therefore , \r\n creating a safe.']"
"1

All-Round Help to Bridge the Digital Divide

The digital divide is the primary problem when we construct the Silk Road",['A limitation: 1 \r\n\r\n All - Round Help to.']
"But how to use big data technology to collect, organize, and
analyze the data generated by outdoor sports has become an urgent problem for us [3]",['A limitation: But how to use big data technology.']
"The article
revolves around the issue of a personalized teaching system based on big data",['A limitation: The article \r\n revolves around the issue.']
": Development of Educational Big Data: Connotation, Value and Challenge",['A limitation: : Development of Educational Big Data :.']
"The system can realize the determination of the best response measures in the shortest time and issue them as soon as
possible",['A limitation: The system can realize the determination of.']
"4

Give Full Play to the Role of Non-governmental Organizations

As the environment deteriorates off, public health incidents have unfortunately become
a normalized problem",['A limitation: 4 \r\n\r\n Give Full Play to the.']
"To solve
this problem, the assistance of non-governmental organizations is needed","['A limitation: To solve \r\n this problem , the.']"
"We introduce it to solve the problem
of encryption and decryption",['A limitation: We introduce it to solve the problem.']
"are all the concerns of users, and the core problem is reputation","['A limitation: are all the concerns of users ,.']"
"1:

Problem analysis

Data
preprocessi
ng

Data model
creaƟon

Data inducƟon
analysis

No
Yes

Data model
debugging

Data evaluaƟon

Fig",['A limitation: 1 : \r\n\r\n Problem analysis \r\n\r\n Data.']
"On the issue of individual attitude, the individual will ﬁnd a balance between
rationality and emotion","['A limitation: On the issue of individual attitude ,.']"
"Dynamic analysis
refers to run the script code in a controlled environment, through code to be inspected
after the execution of the state, for example in the literature [6], the author by monitoring system status, network connection state, as well as the system registry ﬁle to
detect abnormal process, the method is due to the malicious JavaScript code to run
directly, it will increase the risk of system is under attack, and the test efﬁciency is also
a problem",['A limitation: Dynamic analysis \r\n refers to run the.']
"It can be used in AR
technology to solve the problem of “where am I” during real-time interaction between
moving people and virtual scene, among which “I” refers to the moving people
equivalent to the camera or eyes, “in” refers to the location, “which” refers to the map
built in the virtual environment",['A limitation: It can be used in AR \r\n.']
"Keywords: Time slot search  Heterogeneous cluster  Directed acyclic graph 
Scheduling strategy

1 Overview
As for the applications of directed acyclic graph, the task scheduling problem is a basic
problem of distributed and parallel computation [1]",['A limitation: Keywords : Time slot search \x01 Heterogeneous.']
"This issue refers to a basically NP
hard problem and the optimal solution is limited to the problem’s limited case",['A limitation: This issue refers to a basically NP.']
"2 The Deﬁnition of Problem Model
Applications can make use of the DAG model G ¼ ðT; E Þ to represent [4]",['A limitation: 2 The Deﬁnition of Problem Model \r\n.']
"Respective edge indicates a
priority constraint relationship, revealing the task ti required to be executed prior to the
© The Editor(s) (if applicable) and The Author(s), under exclusive license
to Springer Nature Switzerland AG 2021
J",['A limitation: Respective edge indicates a \r\n priority constraint.']
"For a heterogeneous cluster
model NHC and a DAG model G, the issue solved here refers to ﬁnding a prominent
schedule, set as the mapping from G to NHC",['A limitation: For a heterogeneous cluster \r\n model NHC.']
"Its essence is
to coordinate the searching process, which tries to optimize the current optimal solution
in an iterative manner through using the task scheduling problem and the prior
knowledge of the target computing environment",['A limitation: Its essence is \r\n to coordinate the.']
"Therefore, in order to better solve this
problem, the author will judge according to the actual life experience and data statistics,
and make the initial center of mass in the ﬁrst selected categories or clusters to the
greatest extent, so as to ensure the relative rationality of clustering results","['A limitation: Therefore , in order to better solve.']"
": Application of a modal approach in solving the static stability problem for
electric power systems",['A limitation: : Application of a modal approach in.']
"1

Entrepreneurial Practical Ability Still Needs to be Strengthened

According to the statistics of the Ministry of Education, at present, the problem of
employment difﬁculty for university graduates in our country has appeared in a wide
range",['A limitation: According to the statistics of the Ministry.']
"5% of university students are contrived, the biggest problem of starting a
business is lack of funds",['A limitation: 5 % of university students are contrived.']
"Strengthen propaganda,
guide the society to pay attention to and support the rural entrepreneurship of university
students, take advantage of the technology and knowledge of university students,
combine with local land, funds and existing resources, and combine with “three
changes reform” and ﬁnancing in many ways to solve the problem of funds [7]","['A limitation: Strengthen propaganda , \r\n guide the society.']"
"To break the “bottleneck” constraint, we must change the model that used to rely mainly on governmentled construction and actively promote institutional reforms and policies Innovate,
establish scientiﬁc and standardized investment and ﬁnancing mechanisms, and guide
and encourage social capital to participate more and better in the construction of
China’s new smart cities",['A limitation: To break the “ bottleneck ” constraint.']
"The issue of berth shore bridge
allocation is particularly important",['A limitation: The issue of berth shore bridge \r\n.']
"3 Influencing Factors of Berth Shore Bridge Allocation
Generally speaking, the problem of berth scheduling is to reasonably arrange the
docking position and docking sequence of the container terminal ships, so that the total
arrival time of ships arriving at the port within a certain period of time is the shortest,
which improves the port’s operating efﬁciency",['A limitation: 3 Influencing Factors of Berth Shore Bridge.']
"4 Optimized Solution of Berth Shore Bridge Allocation Based
on Simulated Annealing Algorithm
The problem of berth shore bridge allocation can be regarded as a multi-objective
optimization problem [7]",['A limitation: 4 Optimized Solution of Berth Shore Bridge.']
": The Joint quay crane
scheduling and block allocation problem in container terminals",['A limitation: : The Joint quay crane \r\n scheduling.']
": Solving a stochastic berth allocation problem using a hybrid
sequence pair-based simulated annealing algorithm",['A limitation: : Solving a stochastic berth allocation problem.']
": A Simulated Annealing algorithm for
a mixed model assembly U-line balancing type-I problem considering human efﬁciency and
Just-In-Time approach",['A limitation: U - line balancing type - I.']
": A dynamic and discrete berth
allocation problem in container terminals considering tide effects",['A limitation: : A dynamic and discrete berth \r\n.']
"6%, effectively solving the problem of IS terminal
protection of the Internet of Things","['A limitation: 6 % , effectively solving the problem.']"
"The new Rﬁd key agreement bidirectional authentication protocol can
effectively solve the problem of user privacy security information protection in THE
Rﬁd bidirectional authentication system",['A limitation: The new Rﬁd key agreement bidirectional authentication.']
"The
big data network learning platform has brought a lot of convenience to our English
learners, but it is also a brand new challenge for teaching activities",['A limitation: The \r\n big data network learning platform.']
"3

Limitation of the Traditional Teaching Mode to the Multimodal
Interactive Teaching Environment Under the Background of Big
Data

The multimodal and multidimensional interactive teaching mode of Comprehensive
English requires a speciﬁc teaching environment",['A limitation: 3 \r\n\r\n Limitation of the Traditional Teaching.']
"This article through the analysis of the Internet technology innovation application in intelligent logistics, e-commerce logistics, logistics development trend
of the Internet, on the basis of relevant theoretical basis and research status and
research some key bottleneck problem, and on the Internet under the background of logistics development main problems were analyzed, and corresponding solutions are put forward, in order to promote domestic logistics can
seize the opportunities under the Internet development in the future challenge
coordinated development",['A limitation: This article through the analysis of the.']
"Internet drives the development of logistics industry in small quantity reduction, batch, grasp the personality,
strong elastic characteristics, in order to better meet the enormous market demand,
because is still in developing stage, the logistics development under the Internet also
has low efﬁciency of logistics operation, logistics, intelligent and standardization of
each link popularity is low, and low level of logistics integration bottleneck problem
[9]",['A limitation: Internet drives the development of logistics industry.']
"For the axial compression rod system in this article, it belongs to the
ﬁrst type of stability problem",['A limitation: For the axial compression rod system in.']
"77%, which shows that the flow
abnormality simulation experiment based on multiple protocols of support
vector machine is very effective and successful Detected If a copper leak is
detected in the system, it can detect vulnerabilities in web applications and issue
warnings in advance to implement security protection functions","['A limitation: 77 % , which shows that the.']"
": Bi-criterion problem to determine optimal
vulnerability discovery and patching time",['A limitation: : Bi - criterion problem to determine.']
"Once there is a problem with the high-voltage cable, it is difﬁcult to ﬁnd
the location and type of cable fault",['A limitation: Once there is a problem with the.']
"During the transmission, the
end fails to receive normally, but it is not because of a problem with the cable insulation protection layer","['A limitation: During the transmission , the \r\n end.']"
"With the explosive growth of Internet of Things data, the storage of
large amounts of data has become a problem that plagues people",['A limitation: With the explosive growth of Internet of.']
"The explosive growth of Internet of Things data needs to be stored in a secure manner,
which will undoubtedly be a huge challenge in the future",['A limitation: The explosive growth of Internet of Things.']
"Blockchain has many advantages to satisfy the above
functions:
– Distributed layout: It replacing the previous centralized service center, transactions
in this blockchain network are initiated, conﬁrmed and maintained by full blockchain network nodes, without worrying about the problem of low fault tolerance
brought by the centralized server;
© The Editor(s) (if applicable) and The Author(s), under exclusive license
to Springer Nature Switzerland AG 2021
J",['A limitation: Blockchain has many advantages to satisfy the.']
Distributed cloud storage servers can solve this problem well,['A limitation: Distributed cloud storage servers can solve this.']
"Data Distributed Storage Scheme in Internet of Things

675

5 Conclusion
Aiming at the problem of massive data security storage caused by the surge of IoT data,
this article proposes a new distributed storage solution for IoT data based on secret
sharing and blockchain, which has theoretical reliability, efﬁciency and feasibility",['A limitation: Data Distributed Storage Scheme in Internet of.']
"GSA algorithm
solves the problem of determining the optimal number of clusters in the process of bad
data identiﬁcation, which is essentially K-means clustering algorithm",['A limitation: GSA algorithm \r\n solves the problem of.']
"6; the coefﬁcient of x3 is negative, indicating that the
total import and the total retail sales of social consumer goods are negatively correlated,
which is not consistent with the general economic knowledge The key to the problem is
that there is a serious multicollinearity between these explanatory variables, so the
regression equation is actually pseudo regression, so the model is meaningless",['A limitation: 6 ; the coefﬁcient of x3 is.']
"At the same time, the security problem of campus
network is becoming more and more prominent; the safety of campus network
becomes particularly important","['A limitation: At the same time , the security.']"
"4 Conclusion
The security problem of college campus network is a dynamic and complex system,
which requires comprehensive and multi-level prevention",['A limitation: 4 Conclusion \r\n The security problem of.']
"(continued)

Serial Evaluation
number index

Meaning

Evaluation
index
measurement
C4
The extent to
which public credit (consistency ratio
of public credit
data does not
data)
contradict data
used in other
speciﬁc contexts

Calculation
formula

Weight

C4 = X/Y  100% w4
X = the amount of
data meeting the
consistency
requirements in the
statistical cycle
Y = total data
submitted in the
statistical cycle
C5 = X/Y  100% w5
5
Accessibility
According to the C5
requirements of
X = the number of
(access rate of
business rules,
successful data
public credit
public credit data data)
acquisition by users
meets the user’s
in the cycle
ability to query
Y = the number of
and use
times users query
data in the cycle
C6 = X/Y  100% w6
6
Timeliness
According to the C6
requirements of
X = actual number
(the ratio of
business rules, the public credit data of records
extent to which
submitted on time
submitted in
public credit
Y = number of
time)
information data is
records to be
submitted and
submitted
updated within the
speciﬁed time
P
Total data quality of public credit C
C = wi  Ci  100

4

Consistency

3 Strategies for Improving the Quality of Public Credit Data
The improvement of public credit data quality is not only a technical problem, but also
a complex management problem",['A limitation: The improvement of public credit data quality.']
"(2) Do stage
The main tasks of public credit data quality management in the Do stage include but are
not limited to:
a) Evaluating the quality of public credit data from various dimensions according to
the data standards and indexes deﬁned in the Plan stage;
b) Listing all problem data according to the evaluation results",['A limitation: Listing all problem data according to the.']
"(3) Check stage
The main tasks of public credit data quality management in the Check stage include but
are not limited to:
a) Listing all problem data according to the evaluation results, and analyzing the
reasons one by one;
b) Developing data quality improvement plan according to the data quality evaluation
indexes, problems lists and cause analysis results, develop the data quality
improvement plan",['A limitation: The main tasks of public credit data.']
"Aiming at risk
management issues such as alienation of funding, lack of integrity, and increased moral
hazard in the evaluation of scholarships, green channels, and the development of
student loans, how to establish an effective risk management constraint and prevention
mechanism for funded projects has put forward more difﬁcult requirements for funding
work in the new era",['A limitation: Aiming at risk \r\n management issues such.']
"In order
to save procedures, simplify administration and delegate power, the practice of
allowing students to issue poverty certiﬁcates at all levels and various types is now
abolished","['A limitation: In order \r\n to save procedures ,.']"
"Basic principles,
including collection limitation, data quality, purpose speciﬁcation, security
safeguards, openness, should be followed for the improvement of the legislation
of Chinese concerning privacy issues in smart cities","['A limitation: Basic principles , \r\n including collection limitation.']"
(c) collection limitation,['A limitation: ( c ) collection limitation.']
"Such as chengdu
school canteen messy problem a while ago, the recent Hong Kong waste young events,
and the college sky-high accommodation costs events, these events aroused heated
discussion online as soon as they were reported by the new media platform",['A limitation: Such as chengdu \r\n school canteen messy.']
"In addition, because the comment published online is
anonymous and no constraint, some people through the keyboard’s comments may be a
radical thought, instead of rational thinking","['A limitation: In addition , because the comment published.']"
"3 Use Government Affairs New Media to Guide Public
Opinion Problem
The new features of public opinion brought by new media make people see the difference between online public opinion and traditional public opinion, and make the
government pay more and more attention to use the new media to guide the public
opinion",['A limitation: 3 Use Government Affairs New Media to.']
"Daily operation of many government media accounts lacks
the popularization of some professional knowledge, or they can’t solve some basic
professional problem from user comments [6]",['A limitation: Daily operation of many government media accounts.']
"In this study, it is used to solve the problem
of location selection for students’ physical health sharing center","['A limitation: In this study , it is used.']"
"For continuous cases, the POMDP approximation is used to deal with the dimensional disaster problem of iterative calculation of MDP values","['A limitation: For continuous cases , the POMDP approximation.']"
"By dynamically constructing the conﬁdence point
set, MC-POMDP can maintain a relatively small conﬁdence set without the limitation
of a limited state space",['A limitation: By dynamically constructing the conﬁdence point \r\n.']
"Wang

algorithm, save computing costs, helping solve the problem of actual mobile agent
grabbing","['A limitation: Wang \r\n\r\n algorithm , save computing costs.']"
Clustering analysis algorithm can solve this problem well,['A limitation: Clustering analysis algorithm can solve this problem.']
"This algorithm is usually
used to study the classiﬁcation problem of various factors",['A limitation: This algorithm is usually \r\n used to.']
"Using the virtual experiment system, students make all kinds of difﬁcult experiment can
be true, feel the same experience like real experiments, enhance intuitive knowledge,
make the content of teaching understand deeply, avoid all kinds of dangers brought by
real experiments or operations, and break the limitation of space and time","['A limitation: Using the virtual experiment system , students.']"
"And through virtual reality technology help university to
solve the problem of high cost, security and other issues in practice process (Fig",['A limitation: And through virtual reality technology help university.']
"Through virtual reality technology help university to solve the problem of high cost,
security and other issues in practice process

4 Summary
In the ecological environment of higher education, a large number of scientiﬁc research
forces have been gathered and have most of the young people in society who are easy
to accept new things",['A limitation: Through virtual reality technology help university to.']
"Second, consult the relevant literature and clarify the current research status of the problem and the common problems
existing in major domestic universities and the reasons for the problems","['A limitation: Second , consult the relevant literature and.']"
"2

Constructing an Experimental Education Management Platform
for the Internet of Things

Colleges and universities need to start from the training goals of practical technical
talents and cultivate College graduates with independent analysis and problem-solving
abilities, entrepreneurial and innovative abilities, have established a comprehensive
base for experimental teaching reform, scientiﬁc research and social consultation,
student innovation ability training, and skills training, so that experimental teaching,
scientiﬁc research, and school-enterprise Cooperation provides a strong guarantee",['A limitation: 2 \r\n\r\n Constructing an Experimental Education Management.']
"2

Problems Faced by Path Planning of Mobile Robots

(1) Limitations
The path planning method of mobile robot has some limitations, so the path
planning technology of mobile robot should be explored on the basis of limitation
compensation [6]","['A limitation: 2 \r\n\r\n Problems Faced by Path Planning.', 'A limitation: The path planning method of mobile robot.']"
"(3) There are problems in the path planning of mobile robots, which is applied to
nonholonomic constraint planning [7]",['A limitation: ( 3 ) There are problems in.']
"It does not need the mechanism model and the
real problem description, so it can be applied in more ﬁelds",['A limitation: It does not need the mechanism model.']
": A dynamic and discrete berth
allocation problem in container terminals considering tide effects",['A limitation: : A dynamic and discrete berth \r\n.']
"3%, and the problem
caused by the limitation of university equipment resources accounts for 18","['A limitation: 3 % , and the problem \r\n.']"
"Huang

machine technology not only solves the problem of network security in the teaching
process, but also effectively relieves the tension of teaching equipment, thus reducing
the cost of equipment procurement in Colleges and universities",['A limitation: Huang \r\n\r\n machine technology not only solves.']
"The security of social information needs to be improved, Since the Internet
appeared in people’s lives, the problem of information security has always existed",['A limitation: The security of social information needs to.']
"Fifth, build multiple operating systems to solve the problem
of resource constraints","['A limitation: Fifth , build multiple operating systems to.']"
"Firstly, the constraint frame is determined online
according to the previous motion direction","['A limitation: Firstly , the constraint frame is determined.']"
"1

Experimental Background

The cultivation of intelligent talents is an unavoidable practical problem in the process
of educational reform and informationization",['A limitation: 1 \r\n\r\n Experimental Background \r\n\r\n The cultivation.']
"The intelligent learning network platform not only gets rid of
the limitation of traditional classroom, but also breaks through the limitation brought
by ﬁxed PC",['A limitation: The intelligent learning network platform not only.']
"In order to explore this issue, this paper
focuses on the two main roles of science and technology in higher education: Multimedia and Database","['A limitation: In order to explore this issue ,.']"
"Therefore, it is an issue that needs to be paid attention to in the current university
management process","['A limitation: Therefore , it is an issue that.']"
"Before the recruitment, the library managers need to
research of existing staff, analysis of the existing talent structure, and then based on the
library development plan to improve the talent introduction plan, including short term
talent introduction plan and long-term talent introduction plan two aspects, which exists
in view of the current university library human resources age structure is not reasonable, the problem such as the irrational proportion of men and women to improve","['A limitation: Before the recruitment , the library managers.']"
"Edge computing is essentially the use of its own or surrounding computing centers with powerful computing power to serve itself, It’s not like cloud
computing, uniﬁed control of resources and achieve the goal of energy saving, it
also makes some calculations carrier got a lot of waste, not very friendly to the
global push for green computing, load optimization research for this problem,
this paper calculated according to the characteristics of the edge, the edge of the
predictable cognitive load optimization scheme is put forward, thus reduce the
energy consumption, promote green computing",['A limitation: Edge computing is essentially the use of.']
"In the past, virtual machine resource management was treated as a packing problem
in cloud server environment, and the methods of best ﬁtting, ﬁrst ﬁtting, best ﬁtting
decreasing, genetic algorithm and simulated annealing [7] were proposed","['A limitation: In the past , virtual machine resource.']"
"But the
previous methods only give the optimal solution of the problem, not the global optimal
solution",['A limitation: But the \r\n previous methods only give.']
"However, this method is only applicable to the part of high bandwidth demand, and
cannot solve the problem of high edge computing power","['A limitation: However , this method is only applicable.']"
"[9] solved the
problem of energy saving through virtual machine allocation",['A limitation: [ 9 ] solved the \r\n problem.']
"The problem of centralized allocation and migration of virtual machines is solved by adopting the method

Load Optimization Scheme Based on Edge Computing in Internet of Things

859

based on multiple neural intelligence and considering the cost",['A limitation: The problem of centralized allocation and migration.']
"Aiming at the problem of
energy consumption waste of computing nodes in the edge computing network of the
Internet of Things, this paper uses machine learning model to predict, deploy node
network in the next stage in advance, close or sleep the unnecessary computing nodes,
and reduce energy consumption waste",['A limitation: Aiming at the problem of \r\n energy.']
"In order to solve this problem, a quick and
effective ﬁre detection method of twin support vector machine (TWSVM) based
on improved glowworm swarm optimization algorithm (GSO) is proposed","['A limitation: In order to solve this problem ,.']"
"However, there are also some problems of
twin support vector machine including the disability of dealing with the
parameter selection problem properly which could reduce the classiﬁcation
capability of the algorithm","['A limitation: However , there are also some problems.']"
"As for the problem of how to detect ﬁre image accurately and timely under various
interferences, many researchers contribute many solutions to this problem",['A limitation: As for the problem of how to.']
"For this issue, many scholars contribute to the study of TWSVM algorithm,
there are still problems we can solve to improve the performance of TWSVM algorithm
[5–7]","['A limitation: For this issue , many scholars contribute.']"
"In this paper, a adaptive Glowworm Swarm Optimization
algorithm with Changing Step (CSGSO) is presented to solve the problem that the
Glowworm Swarm Optimization (GSO) algorithm to optimize the multi-modal function existing slow convergence and low precision defects","['A limitation: In this paper , a adaptive Glowworm.']"
"Since the size of the quadratic programming problem solved by TWSVM is a quarter of
the original SVM, theoretically, the computational efﬁciency is 4 times that of the
traditional SVM, which greatly improves the classiﬁcation efﬁciency",['A limitation: Since the size of the quadratic programming.']
"Anew adaptive
Glowworm Swarm Optimization algorithm with Changing Step (CSGSO) is presented
to solve the problem that the Glowworm Swarm Optimization (GSO) algorithm to
optimize the multi-modal function existing slow convergence and low precision
defects",['A limitation: Anew adaptive \r\n Glowworm Swarm Optimization algorithm.']
"proposed an efﬁcient data aggregation in wireless sensor network scheme
based on the grid, the scheme can effectively reduce the total energy consumption of
network [4], but the limitation is that all ordinary sensor nodes within the data transmission is only allowed in the local community, only the data aggregation and data
encryption can no longer meet the needs of data security",['A limitation: proposed an efﬁcient data aggregation in wireless.']
"[7] proposed a DCFDAS, which is mainly aimed at
the delay problem and consists of DAT and FCFS","['A limitation: [ 7 ] proposed a DCFDAS ,.']"
"To solve this problem, this paper adopts the data uploading decision mechanism [13] and the sensor network data compression algorithm [14] based on spacetime correlation before data uploading","['A limitation: To solve this problem , this paper.']"
"Data segmentation process

4 Conclusion
Data aggregation is a very important operation in sensors to eliminate redundant data,
but at the same time, the security of data is also an issue that can not be ignored, which
is also an issue that researchers pay more and more attention to",['A limitation: Data segmentation process \r\n\r\n 4 Conclusion \r\n.']
